Frame Number ,Layer Number,Overflow Count,Underflow Count,Max GNA value,Scale Factor,Max FP32 value,Mean of Overflowing FP32 values,Median,GNA Layer Name,IR Layer Name
0,199,0,0,0.0585938,512,0.0567789,0,0,kActIdentity_199,identity_50
0,95,0,0,0.0527344,512,0.0507572,0,0,kActIdentity_95,identity_21
0,566,20,0,64.0,512,76.4326,60.476155000000006,61.3982,kActIdentity_566,identity_155
0,283,0,0,0.00585938,512,0.270949,0,0,kActIdentity_283,identity_75
0,230,0,0,0.0449219,512,0.0447448,0,0,kActIdentity_230,identity_59
0,310,66,0,64.0,512,217.256,70.88451818181818,64.90135000000001,kActIdentity_310,identity_82
0,489,0,66,0.957031,512,0.987086,0,0,kActIdentity_489,identity_133
0,205,0,11,0.994141,512,0.996242,0,0,kActIdentity_205,identity_52
0,137,0,4,3.5,256,5.17248,0,0,kActIdentity_137,identity_33
0,428,9,0,64.0,512,376.898,131.8882888888889,81.9232,kActIdentity_428,identity_116
0,103,0,0,0.0585938,512,0.0585406,0,0,kActIdentity_103,identity_23
0,515,0,0,0.0761719,512,0.0857442,0,0,kActIdentity_515,identity_140
0,264,0,0,62.9004,512,97.9475,0,0,kActIdentity_264,identity_70
0,236,23,0,64.0,512,247.717,84.25961304347825,72.1538,kActIdentity_236,identity_61
0,148,9,0,64.0,512,478.938,97.77101111111112,75.0254,kActIdentity_148,identity_37
0,521,18,0,64.0,512,509.632,157.43418888888888,126.33699999999999,kActIdentity_521,identity_142
0,312,57,0,64.0,512,217.256,68.50073333333334,64.644,kActIdentity_312,identity_83
0,447,2,0,64.0,512,188.468,122.6695,122.6695,kActIdentity_447,identity_121
0,470,17,1,64.0,512,71.2872,60.680652941176476,58.6824,kActIdentity_470,identity_128
0,166,0,0,0.00976562,512,0.0536709,0,0,kActIdentity_166,identity_42
0,338,6,0,64.0,512,156.811,84.99681666666667,69.76735,kActIdentity_338,identity_91
0,03,20,0,64.0,512,100.056,74.006935,71.48205,kActIdentity_3,identity_9
1,564,1,0,63.998,512,75.2238,75.2238,75.2238,kActIdentity_564,identity_154
1,01,2,0,63.998,512,70.6259,69.05369999999999,69.05369999999999,kActIdentity_1,identity_5
1,81,0,3,2.625,256,4.44009,0,0,kActIdentity_81,identity_18
1,348,0,3,2.5,256,13.552,0,0,kActIdentity_348,identity_93
1,87,0,0,0.046875,512,0.0442328,0,0,kActIdentity_87,identity_19
1,507,4,1,64.0,512,84.971,59.461675,54.1053,kActIdentity_507,identity_139
1,215,28,0,64.0,512,148.363,60.204885714285716,54.58115,kActIdentity_215,identity_55
1,71,11,0,64.0,512,92.4985,74.43710909090909,72.7802,kActIdentity_71,identity_16
1,557,0,0,0.0449219,512,0.0520959,0,0,kActIdentity_557,identity_152
1,395,0,34,0.9375,512,0.950613,0,0,kActIdentity_395,identity_106
1,222,74,0,64.0,512,313.007,67.52649324324325,64.5938,kActIdentity_222,identity_58
1,44,0,0,1.06641,512,1.38293,0,0,kActIdentity_44,identity_7
1,412,3,0,63.998,512,193.482,86.5619,73.5048,kActIdentity_412,identity_112
1,59,29,0,63.998,512,813.48,80.6632,75.4787,kActIdentity_59,identity_12
1,500,0,0,38.6016,512,41.3413,0,0,kActIdentity_500,identity_136
1,56,0,0,0.111328,512,0.570886,0,0,kActIdentity_56,identity_11
1,504,0,0,3.5,512,5.0196,0,0,kActIdentity_504,identity_138
1,294,0,0,0.0351562,512,0.0344997,0,0,kActIdentity_294,identity_77
1,251,0,0,0.0371094,512,0.0282179,0,0,kActIdentity_251,identity_65
1,441,0,0,0.0488281,512,0.0393596,0,0,kActIdentity_441,identity_119
1,579,0,0,0.0429688,512,0.0452376,0,0,kActIdentity_579,identity_158
1,472,0,0,15.7656,512,15.3608,0,0,kActIdentity_472,identity_129
1,464,0,4,2.5,256,12.0174,0,0,kActIdentity_464,identity_126
